STT,Create_at
50000,2022-12-14 21:33:41.315035
50001,2022-12-14 21:33:41.315035
50002,2022-12-14 21:33:41.315035
50003,2022-12-14 21:33:41.315035
50004,2022-12-14 21:33:41.315035
50005,2022-12-14 21:33:41.315035
50006,2022-12-14 21:33:41.315035
50007,2022-12-14 21:33:41.315035
50008,2022-12-14 21:33:41.315035
50009,2022-12-14 21:33:41.315035
50010,2022-12-14 21:33:41.315035
50011,2022-12-14 21:33:41.315035
50012,2022-12-14 21:33:41.315035
50013,2022-12-14 21:33:41.315035
50014,2022-12-14 21:33:41.315035
50015,2022-12-14 21:33:41.315035
50016,2022-12-14 21:33:41.315035
50017,2022-12-14 21:33:41.315035
50018,2022-12-14 21:33:41.315035
50019,2022-12-14 21:33:41.315035
50020,2022-12-14 21:33:41.315035
50021,2022-12-14 21:33:41.315035
50022,2022-12-14 21:33:41.315035
50023,2022-12-14 21:33:41.315035
50024,2022-12-14 21:33:41.315035
50025,2022-12-14 21:33:41.315035
50026,2022-12-14 21:33:41.315035
50027,2022-12-14 21:33:41.315035
50028,2022-12-14 21:33:41.315035
50029,2022-12-14 21:33:41.315035
50030,2022-12-14 21:33:41.315035
50031,2022-12-14 21:33:41.315035
50032,2022-12-14 21:33:41.315035
50033,2022-12-14 21:33:41.315035
50034,2022-12-14 21:33:41.315035
50035,2022-12-14 21:33:41.315035
50036,2022-12-14 21:33:41.315035
50037,2022-12-14 21:33:41.315035
50038,2022-12-14 21:33:41.315035
50039,2022-12-14 21:33:41.315035
50040,2022-12-14 21:33:41.315035
50041,2022-12-14 21:33:41.315035
50042,2022-12-14 21:33:41.315035
50043,2022-12-14 21:33:41.315035
50044,2022-12-14 21:33:41.315035
50045,2022-12-14 21:33:41.315035
50046,2022-12-14 21:33:41.315035
50047,2022-12-14 21:33:41.315035
50048,2022-12-14 21:33:41.315035
50049,2022-12-14 21:33:41.315035
50050,2022-12-14 21:33:41.315035
50051,2022-12-14 21:33:41.315035
50052,2022-12-14 21:33:41.316034
50053,2022-12-14 21:33:41.316034
50054,2022-12-14 21:33:41.316034
50055,2022-12-14 21:33:41.316034
50056,2022-12-14 21:33:41.316034
50057,2022-12-14 21:33:41.316034
50058,2022-12-14 21:33:41.316034
50059,2022-12-14 21:33:41.316034
50060,2022-12-14 21:33:41.316034
50061,2022-12-14 21:33:41.316034
50062,2022-12-14 21:33:41.316034
50063,2022-12-14 21:33:41.316034
50064,2022-12-14 21:33:41.316034
50065,2022-12-14 21:33:41.316034
50066,2022-12-14 21:33:41.316034
50067,2022-12-14 21:33:41.316034
50068,2022-12-14 21:33:41.316034
50069,2022-12-14 21:33:41.316034
50070,2022-12-14 21:33:41.316034
50071,2022-12-14 21:33:41.316034
50072,2022-12-14 21:33:41.316034
50073,2022-12-14 21:33:41.316034
50074,2022-12-14 21:33:41.316034
50075,2022-12-14 21:33:41.316034
50076,2022-12-14 21:33:41.316034
50077,2022-12-14 21:33:41.316034
50078,2022-12-14 21:33:41.316034
50079,2022-12-14 21:33:41.316034
50080,2022-12-14 21:33:41.316034
50081,2022-12-14 21:33:41.316034
50082,2022-12-14 21:33:41.316034
50083,2022-12-14 21:33:41.316034
50084,2022-12-14 21:33:41.316034
50085,2022-12-14 21:33:41.316034
50086,2022-12-14 21:33:41.316034
50087,2022-12-14 21:33:41.316034
50088,2022-12-14 21:33:41.316034
50089,2022-12-14 21:33:41.316034
50090,2022-12-14 21:33:41.316034
50091,2022-12-14 21:33:41.316034
50092,2022-12-14 21:33:41.316034
50093,2022-12-14 21:33:41.316034
50094,2022-12-14 21:33:41.316034
50095,2022-12-14 21:33:41.316034
50096,2022-12-14 21:33:41.316034
50097,2022-12-14 21:33:41.316034
50098,2022-12-14 21:33:41.316034
50099,2022-12-14 21:33:41.316034
50100,2022-12-14 21:33:41.316034
50101,2022-12-14 21:33:41.316034
50102,2022-12-14 21:33:41.316034
50103,2022-12-14 21:33:41.316034
50104,2022-12-14 21:33:41.316034
50105,2022-12-14 21:33:41.316034
50106,2022-12-14 21:33:41.316034
50107,2022-12-14 21:33:41.316034
50108,2022-12-14 21:33:41.316034
50109,2022-12-14 21:33:41.316034
50110,2022-12-14 21:33:41.316034
50111,2022-12-14 21:33:41.316034
50112,2022-12-14 21:33:41.316034
50113,2022-12-14 21:33:41.316034
50114,2022-12-14 21:33:41.316034
50115,2022-12-14 21:33:41.316034
50116,2022-12-14 21:33:41.316034
50117,2022-12-14 21:33:41.316034
50118,2022-12-14 21:33:41.316034
50119,2022-12-14 21:33:41.316034
50120,2022-12-14 21:33:41.316034
50121,2022-12-14 21:33:41.316034
50122,2022-12-14 21:33:41.316034
50123,2022-12-14 21:33:41.316034
50124,2022-12-14 21:33:41.316034
50125,2022-12-14 21:33:41.316034
50126,2022-12-14 21:33:41.316034
50127,2022-12-14 21:33:41.316034
50128,2022-12-14 21:33:41.316034
50129,2022-12-14 21:33:41.316034
50130,2022-12-14 21:33:41.316034
50131,2022-12-14 21:33:41.316034
50132,2022-12-14 21:33:41.316034
50133,2022-12-14 21:33:41.316034
50134,2022-12-14 21:33:41.317034
50135,2022-12-14 21:33:41.317034
50136,2022-12-14 21:33:41.317034
50137,2022-12-14 21:33:41.317034
50138,2022-12-14 21:33:41.317034
50139,2022-12-14 21:33:41.317034
50140,2022-12-14 21:33:41.317034
50141,2022-12-14 21:33:41.317034
50142,2022-12-14 21:33:41.317034
50143,2022-12-14 21:33:41.317034
50144,2022-12-14 21:33:41.317034
50145,2022-12-14 21:33:41.317034
50146,2022-12-14 21:33:41.317034
50147,2022-12-14 21:33:41.317034
50148,2022-12-14 21:33:41.317034
50149,2022-12-14 21:33:41.317034
50150,2022-12-14 21:33:41.317034
50151,2022-12-14 21:33:41.317034
50152,2022-12-14 21:33:41.317034
50153,2022-12-14 21:33:41.317034
50154,2022-12-14 21:33:41.317034
50155,2022-12-14 21:33:41.317034
50156,2022-12-14 21:33:41.317034
50157,2022-12-14 21:33:41.317034
50158,2022-12-14 21:33:41.317034
50159,2022-12-14 21:33:41.317034
50160,2022-12-14 21:33:41.317034
50161,2022-12-14 21:33:41.317034
50162,2022-12-14 21:33:41.317034
50163,2022-12-14 21:33:41.317034
50164,2022-12-14 21:33:41.317034
50165,2022-12-14 21:33:41.317034
50166,2022-12-14 21:33:41.317034
50167,2022-12-14 21:33:41.317034
50168,2022-12-14 21:33:41.317034
50169,2022-12-14 21:33:41.317034
50170,2022-12-14 21:33:41.317034
50171,2022-12-14 21:33:41.317034
50172,2022-12-14 21:33:41.317034
50173,2022-12-14 21:33:41.317034
50174,2022-12-14 21:33:41.317034
50175,2022-12-14 21:33:41.317034
50176,2022-12-14 21:33:41.317034
50177,2022-12-14 21:33:41.317034
50178,2022-12-14 21:33:41.317034
50179,2022-12-14 21:33:41.317034
50180,2022-12-14 21:33:41.317034
50181,2022-12-14 21:33:41.317034
